sr_no,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
5809,347413,ja,リトルウィッチアカデミア 魔法仕掛けのパレード,15.354,7/3/2015,7.3,73,"['Action', 'Animation', 'Fantasy', 'Comedy']","In Enchanted Parade, Akko, Lotte and Sucy, having gotten in trouble yet again, are forced to team up with three other troublemakers; Amanda O'Neill, Constance Braunschweig Albrechtsburger and Jasmineka Antonenko, and must make an annual witch parade a success or else face expulsion.",$0.00,55,
5829,382272,ja,"デスノート, Light up the NEW world",15.656,10/29/2016,6.3,102,"['Fantasy', 'Mystery', 'Thriller']","10 years has passed since the confrontation between Kira and L. Again, Shinigami sends death notes to the ground and due to this, the world soon falls into chaos. Tsukuru is a member of the Death Note special task force team with 6 other investigators including Matsuda who experienced the Kira case of 10 years ago.  Mass murders caused by the death note takes place on Wall Street in the U.S., Shibuya in Japan and other places. World famous private investigator Ryuzaki, who is the rightful successor of L, also investigates the mass murders. They discover that 6 death notes exists in the world.  A computer virus called Kira spreads in the world. A message in the Kira virus says to turn in 6 death notes.  A person who has 6 death notes overwhelm the world. The confrontation begins between the person who wants Kira’s revival and the people who want to stop it.",$0.00,135,
5836,227679,ja,劇場版ポケットモンスター ベストウイッシュ 神速のゲノセクト ミュウツー覚醒,15.399,7/13/2013,6.5,110,"['Action', 'Adventure', 'Animation', 'Family']","A group of five Genesect have invaded the big city and pose a threat to the supply of electricity, which attracts the attention of the legendary Pokémon Mewtwo. Satoshi, Pikachu and his friends must come to the rescue when the powerful leader, a red Genesect, faces Mewtwo.","$32,300,000.00",72,Beyond the Limits. Where Myth Meets Legend...
5842,438660,ja,PとJK,15.082,3/25/2017,7,31,['Comedy'],"Kako, a 16-year-old high school girl, goes to a mixer pretending to be 22. While there, she meets Kouta who at first has a very intimidating aura. But once he saves her from an awkward situation, she wants to know more about him as does he. That is until he finds out she isn't 22. The next day Kako runs into him again, but this time he's working as a police officer. Kako still wants to get closer to Kouta, but he isn't interested...or is he?",$0.00,124,
5843,432985,ja,銀魂,15.762,7/14/2017,6.7,62,"['Action', 'Adventure', 'Comedy', 'Science Fiction']","In an era where aliens have invaded and taken over feudal Tokyo, a young samurai finds work however he can.",$0.00,130,
5858,150213,ja,劇場版ポケットモンスター ベストウイッシュ キュレムVS聖剣士 ケルディオ,18.139,7/13/2012,6.2,117,"['Family', 'Animation', 'Action', 'Adventure', 'Fantasy', 'Science Fiction']","The movie features Satoshi and his two friends Iris and Dent, as they help a Keldeo battle against a powerful Dragon-type Pokémon named Kyurem as his test to become a Sacred Swordsman.","$44,057,737.00",71,
5863,64246,ja,カラフル,21.137,8/21/2010,7.3,187,"['Animation', 'Drama', 'Family']","Upon reaching the train station to death, a dejected soul is informed that he is lucky and will have another chance at life. He is placed in the body of a 14-year-old boy named Kobayashi Makoto, who has just committed suicide. Watched over by a neutral spirit named Purapura, the soul must figure out what his greatest sin and mistake in his former life was, before his time limit in Makoto's body runs out. He also has a number of other lesser duties he must complete, such as understanding what led Makoto to commit suicide in the first place and learning how to enjoy his second chance at life.",$0.00,127,
5864,39977,ja,るろうに剣心 -明治剣客浪漫譚- 維新志士への鎮魂歌,14.395,12/20/1997,6.6,42,"['Animation', 'Action', 'Fantasy']","The war against the Tokugawa Shogunate ended years ago. But there are some who are not happy with the outcome. Shigure Takimi watched his friends and family get slashed down in the name of freedom and prosperity. Now he and a band of desparate rebels have sworn to settle one final score. Only one man stands in their way: Rurouni Kenshin. Will the former assassin take up his sword to fight again? When Shigure discovers Kenshin's true identity and his fight becomes a personal vendetta, the young hero will have no choice.",$0.00,91,"For a Decade, he's tried to bury his past...Now his past returns to bury him!"
5888,234284,ja,イヴの時間,12.916,3/6/2010,7.3,93,"['Animation', 'Science Fiction', 'Drama']","In the not-too-distant future, androids have come into common usage. However, treating androids on the same level as humans is frowned upon, and there is constant paranoia surrounding the possibility of robots defying humans, their masters. Those who appear too trustworthy of their androids are chided and labeled as ""android-holics.""
 Rikuo Sakisaka, who has taken robots for granted for his entire life, one day discovers that Sammy, his home android, has been acting independently and coming and going on her own. He finds a strange phrase recorded in her activity log, ""Are you enjoying the Time of Eve?"". He, along with his friend Masakazu Masaki, traces Sammy's movements and finds an unusual cafe. Nagi, the barista, informs them that the cafe's main rule is to not discriminate between humans and androids.
 While Rikuo tries to reveal Sammy's intentions, he begins to question the legitimacy of the fear that drives humans to regard androids as nothing more than mere tools.",$0.00,106,
5926,72013,ja,劇場版 遊☆戯☆王 ～超融合！時空を越えた絆～,14.429,1/23/2010,6.1,69,"['Animation', 'Fantasy']","After falling through a time-slip, Yusei Fudo (who has just had his powerful card stolen by a mysterious stranger) meets with Jaden Yuki and Yugi Muto, who agree to help Yusei defeat the evil Paradox, who is planning to destroy Pegasus before he can invent Duel Monsters.",$0.00,49,
5937,37021,ja,らんま1/2 決戦桃幻郷！ 花嫁を奪りもどせ！,10.673,8/2/1992,8,69,"['Action', 'Comedy', 'Animation']","With the Tendos, the Saotomes, Ryoga, Shampoo and Ukyo misinterpreting Tatewake Kuno's invitation to his two loves, Akane and ""The Pig Tailed Girl"", to try his new yacht, a whole new episode of chaos begins in the already unstable lives of the Saotome/Tendo clan. A mysterious shadow kidnaps first Akane's sister Kasumi, then continues on until all the girls disappear. All except everyone's favorite hydrotranssexual. As an ambush, Ranma's set out to trap one of the shadows, revealing them to be under the control of a powerful prince Toma. Toma is the young prince of a floating island to which only males are born due to a powerful spring which turns anything into a man. Of course, he's out to rescue the girls, but more importantly, can he get a hold of the water that may free him of the Jusenkyo curse? And even more importantly, can he keep his mouth shut before Akane does more damage to him then Prince Toma does?",$0.00,63,
