sr_no,id,original_language,original_title,release_date,vote_average,vote_count,genre,overview,revenue,runtime,gender
8113,79026.0,en,El padrino,9/27/2004,5.9,17.0,ActionCrimeDrama,"In the streets of East Los Angeles, Manny is a formidable drug dealer. Impressed by his extravagant lifestyle and prowess, his young son, Kilo, yearns to follow in his footsteps. Kilo resolves to learn how to prosper in the drug world, and his new life as a dealer begins. In a world where a man wants everything, he may end up with nothing.",107503530.61488006,128.0,0
8114,8193.0,en,Napoleon Dynamite,6/11/2004,6.8,1349.0,Comedy,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",46118097.0,95.0,1
8115,812110.0,en,Power Rangers SPD: Zapped,1/1/2005,0.0,0.0,[,"Direct-to-DVD movie. The pace quickens when the academy receives a message from the future warning of impending doom. It seems that Devastation (the most wanted criminal in the galaxy) along with brother, Shorty, and sinister sidekick Morgana have returned to conquer Earth for imminent destruction. Its an SPD Emergency as the team of elite warriors morph into their superhuman multi-hued spandex to take on intergalactic minions. Just when the fury circle is tightening, a mysterious Force from the Future materializes, riding a giant Omegamax Cycle.",107503530.61488006,130.0,1
8116,366696.0,en,The Red Pill,10/14/2016,7.5,139.0,Documentary,"When a feminist filmmaker sets out to document the mysterious and polarizing world of the Men’s Rights Movement, she begins to question her own beliefs. Chronicling Cassie Jaye’s journey exploring an alternate perspective on gender equality, power and privilege.",107503530.61488006,118.0,0
8117,245706.0,en,True Story,4/17/2015,6.3,1556.0,CrimeDramaHistory,"A drama centered around the relationship between journalist Michael Finkel and Christian Longo, an FBI Most Wanted List murderer who for years lived outside the U.S. under Finkels name.",5261595.0,99.0,0
8118,112702.0,ja,変態家族 兄貴の嫁さん,6/5/1984,5.2,13.0,ComedyDrama,"The film tells a story about a woman and her relationship with the family of her husbands, in particular her husbands younger brother and father-in-law. Her husband, on the other hand, has an affair with a dominatrix and is obsessed in S&M games.",107503530.61488006,63.0,0
8119,635237.0,en,Arthur & Merlin: Knights of Camelot,5/28/2020,5.3,105.0,AdventureHistoryAction,King Arthur returns home after fighting the Roman Empire. His illegitimate son has corrupted the throne of Camelot and King Arthur must reunite with the wizard Merlin and the Knights of the Round Table to fight to get back his crown.,107503530.61488006,91.0,0
8120,14373.0,en,Death Wish II,2/20/1982,6.3,308.0,ActionCrimeThriller,Paul Kersey is again a vigilante trying to find five punks who murdered his housekeeper and daughter in Los Angeles.,45000000.0,88.0,1
8121,31473.0,en,An American Tail: The Treasure of Manhattan Island,11/16/1998,6.3,128.0,FamilyAnimationAdventure,"Fievel and his friend Tony Toponi find a map that they believe points to a treasure buried somewhere beneath Old New York, and the plucky rodent is determined to find it. However, what he discovers under the city is a tribe of Native American mice who were driven underground by prejudiced European immigrants.",107503530.61488006,78.0,1
8122,13437.0,en,Avenging Angelo,8/30/2002,5.5,170.0,ActionComedyCrime,"A woman who has recently discovered that she is the daughter of Angelo, a major mafia boss, decides to wreak vengeance when he is killed by a hitman. Shes aided by his faithful bodyguard, with whom she soon falls in love.",107503530.61488006,97.0,1
